Branch_ID,Branch_Name,Location,City,Phone
1,Karachi Main Branch,18293 Davis Street,Karachi,035-1419610
2,Lahore Main Branch,480 Mcdaniel Crossing,Lahore,056-5108603
3,Islamabad Main Branch,17328 Kara Mills,Islamabad,049-3341057
4,Rawalpindi Main Branch,054 Melissa Summit,Rawalpindi,034-2458591
5,Faisalabad Main Branch,985 Durham Lake Apt. 041,Faisalabad,075-1533224
6,Multan Main Branch,398 Frey Land Suite 913,Multan,024-2571945
7,Peshawar Main Branch,7719 Banks Spurs,Peshawar,048-4903402
8,Quetta Main Branch,3341 Henry Mountain,Quetta,085-1445199
9,Hyderabad Main Branch,39730 Bowen Rest,Hyderabad,046-8038374
10,Sialkot Main Branch,0841 Kirby Light Apt. 101,Sialkot,049-8536477
