"Branch_ID","Branch_Name","City","Location","Phone","Manager_Name","Created_At"
"1","HBL Gulberg Branch","Lahore","17-A Gulberg III, Main Boulevard, Lahore","04235761234","Tariq Mehmood","2026-06-04 16:56:19"
"2","MCB Saddar Branch","Karachi","I.I. Chundrigar Road, Saddar, Karachi","02132412345","Fareeha Siddiqui","2026-06-04 16:56:19"
"3","UBL Blue Area Branch","Islamabad","Blue Area, Jinnah Avenue, Islamabad","05128901122","Asad Ali Khan","2026-06-04 16:56:19"
"4","Meezan Bank DHA Branch","Lahore","DHA Phase 5, Commercial Zone, Lahore","04235219988","Sana Malik","2026-06-04 16:56:19"
"5","Allied Bank Clifton","Karachi","Clifton Block 5, Sea View Road, Karachi","02135480011","Imran Sheikh","2026-06-04 16:56:19"
"6","NBP F-10 Branch","Islamabad","F-10 Markaz, Islamabad","05122345678","Rabia Noor","2026-06-04 16:56:19"
"7","Bank Alfalah GT Road","Rawalpindi","GT Road, Near Chandni Chowk, Rawalpindi","05198765432","Kamran Javed","2026-06-04 16:56:19"
"8","Habib Metro Johar","Karachi","Johar Chowrangi, Block 14, Karachi","02134567890","Nadia Hussain","2026-06-04 16:56:19"
"9","Faysal Bank Gulshan","Karachi","Gulshan-e-Iqbal Block 3, University Road, Karachi","02133219988","Zubair Ahmed","2026-06-04 16:56:19"
"10","Standard Chartered PECHS","Karachi","PECHS Block 2, Shahrah-e-Faisal, Karachi","02134112233","Ayesha Raza","2026-06-04 16:56:19"
