Transaction_ID,Account_ID,Amount,Transaction_Date,Transaction_Time,Location,Type,Channel,Description
1,28,116311.99,2024-11-02,22:29:18,Faisalabad,Credit,Online,Online purchase
2,15,194470.19,2024-06-13,07:54:32,Islamabad,Credit,ATM,Online purchase
3,4,232228.9,2023-04-10,23:02:10,Sialkot,Transfer,Mobile App,Fund transfer
4,26,19091.52,2023-08-02,00:07:39,Rawalpindi,Debit,Branch,Cash deposit
5,16,199077.18,2023-12-31,11:13:55,Sialkot,Debit,Branch,Online purchase
6,55,165414.18,2024-07-12,06:20:18,Lahore,Transfer,Branch,Utility bill
7,54,205600.5,2024-10-28,07:12:00,Lahore,Credit,Branch,Cash deposit
8,59,176856.43,2023-08-14,11:36:13,Peshawar,Debit,Branch,Online purchase
9,69,193682.9,2024-01-27,10:03:37,Quetta,Credit,Branch,Salary credit
10,32,207699.68,2024-10-21,14:00:40,Lahore,Credit,Mobile App,ATM withdrawal
11,60,142505.43,2023-01-27,02:41:50,Peshawar,Credit,ATM,Fund transfer
12,42,45541.78,2023-07-19,14:41:28,Rawalpindi,Credit,Branch,Salary credit
13,36,220091.96,2024-03-23,07:53:10,Faisalabad,Transfer,ATM,Online purchase
14,25,21494.68,2024-12-12,15:11:47,Peshawar,Credit,Online,Cash deposit
15,61,161511.13,2023-06-26,18:18:07,Quetta,Credit,ATM,Utility bill
16,38,55476.94,2024-04-24,16:14:58,Rawalpindi,Credit,Branch,Fund transfer
17,68,86004.97,2023-06-20,10:10:06,Hyderabad,Credit,Branch,Cash deposit
18,59,67802.02,2023-12-02,08:05:16,Faisalabad,Debit,ATM,Cash deposit
19,25,78955.43,2023-02-09,06:50:18,Hyderabad,Transfer,Online,ATM withdrawal
20,28,184677.3,2023-09-02,20:52:57,Faisalabad,Transfer,Branch,Utility bill
21,25,74131.99,2023-10-05,21:11:21,Multan,Debit,Branch,Utility bill
22,69,31733.08,2023-02-06,17:21:01,Karachi,Debit,Branch,Cash deposit
23,17,159503.63,2024-03-07,18:49:55,Quetta,Debit,ATM,Online purchase
24,37,117402.3,2024-12-05,05:15:27,Quetta,Credit,Online,Utility bill
25,33,235271.79,2023-05-06,18:32:19,Quetta,Debit,ATM,Fund transfer
26,63,18613.13,2024-02-16,18:12:21,Karachi,Debit,Online,Online purchase
27,39,21386.71,2023-07-07,04:14:54,Rawalpindi,Debit,Mobile App,Online purchase
28,29,193945.82,2024-05-10,00:17:15,Peshawar,Credit,Mobile App,Salary credit
29,55,76414.52,2024-12-10,06:26:45,Sialkot,Debit,ATM,ATM withdrawal
30,28,66235.07,2024-05-15,03:22:39,Lahore,Debit,Online,ATM withdrawal
31,10,39217.5,2023-11-01,11:08:47,Peshawar,Credit,Mobile App,Salary credit
32,5,57945.91,2023-09-26,03:41:19,Faisalabad,Transfer,Mobile App,Utility bill
33,30,230985.37,2024-02-05,00:47:47,Sialkot,Transfer,Online,Fund transfer
34,15,136186.14,2024-05-24,07:19:36,Islamabad,Credit,Online,Utility bill
35,8,41564.11,2023-08-03,22:40:39,Faisalabad,Transfer,Branch,Fund transfer
36,16,117227.62,2023-08-08,19:48:36,Faisalabad,Transfer,Mobile App,Salary credit
37,65,135041.39,2023-03-31,16:22:02,Quetta,Debit,ATM,Fund transfer
38,42,150968.04,2024-06-29,08:06:31,Karachi,Debit,Online,Cash deposit
39,3,249893.15,2024-06-16,08:46:30,Faisalabad,Transfer,ATM,ATM withdrawal
40,61,129789.06,2023-05-14,23:46:07,Quetta,Credit,Online,Online purchase
41,56,158732.7,2023-10-05,09:14:31,Quetta,Debit,Mobile App,Salary credit
42,53,83393.77,2024-03-07,02:11:52,Lahore,Debit,Branch,Fund transfer
43,64,72125.63,2024-01-31,02:23:34,Peshawar,Transfer,ATM,Fund transfer
44,12,78697.84,2024-01-06,14:05:49,Multan,Debit,Mobile App,Online purchase
45,1,164449.33,2024-06-09,23:42:57,Hyderabad,Credit,Mobile App,Utility bill
46,25,129658.0,2024-06-11,11:41:58,Sialkot,Credit,Mobile App,Utility bill
47,27,66837.35,2023-07-28,21:03:04,Islamabad,Credit,Mobile App,Cash deposit
48,63,30444.38,2024-03-03,18:40:43,Sialkot,Debit,Online,Salary credit
49,2,138107.63,2024-08-30,18:00:57,Lahore,Debit,ATM,Fund transfer
50,16,161962.65,2024-05-19,04:30:16,Islamabad,Credit,Branch,Online purchase
