"Transaction_ID","Account_ID","To_Account_ID","Amount","Balance_Before","Balance_After","Trans_Type","Channel","Location","Trans_DateTime","Status","Reference_No","Remarks"
"1","1",NULL,"25000.00","125000.00","100000.00","Withdrawal","ATM","Karachi Airport ATM","2024-01-14 23:47:00","Success","TXN202401140001","Airport withdrawal"
"2","2",NULL,"500000.00","890000.00","390000.00","Transfer","Online","Online - Suspicious IP","2024-01-15 03:12:00","Success","TXN202401150002","Transfer to unknown"
"3","3",NULL,"5000.00","45000.00","40000.00","Deposit","Branch","UBL Islamabad Branch","2024-01-15 10:30:00","Success","TXN202401150003","Cash deposit"
"4","6",NULL,"75000.00","200000.00","125000.00","Withdrawal","ATM","Karachi Port ATM","2024-01-16 22:55:00","Success","TXN202401160004","Late night withdrawal"
"5","7",NULL,"12000.00","780000.00","768000.00","Transfer","Online","Lahore - Online Banking","2024-01-17 14:20:00","Success","TXN202401170005","Online transfer"
"6","6",NULL,"300000.00","125000.00","0.00","Transfer","Online","Unknown Location","2024-01-18 02:30:00","Success","TXN202401180006","Unknown origin"
"7","7",NULL,"8000.00","768000.00","760000.00","Deposit","Branch","HBL Gulberg Branch","2024-01-19 11:00:00","Success","TXN202401190007","Branch deposit"
"8","1",NULL,"450000.00","100000.00","0.00","Withdrawal","ATM","Hyderabad ATM","2024-01-20 23:59:00","Success","TXN202401200008","Large ATM withdrawal"
"9","9",NULL,"15000.00","430000.00","415000.00","Deposit","Branch","Bank Alfalah Rawalpindi","2024-01-21 09:15:00","Success","TXN202401210009","Regular deposit"
"10","2",NULL,"220000.00","390000.00","170000.00","Transfer","Online","VPN - Masked Location","2024-01-22 01:45:00","Success","TXN202401220010","VPN transfer"
"11","10",NULL,"3500.00","67000.00","63500.00","Withdrawal","ATM","Karachi South ATM","2024-01-22 15:30:00","Success","TXN202401220011","Regular ATM"
"12","11",NULL,"50000.00","310000.00","260000.00","Transfer","Online","Lahore - Mobile App","2024-01-23 10:00:00","Success","TXN202401230012","Mobile transfer"
"13","12",NULL,"7500.00","85000.00","77500.00","Withdrawal","ATM","Karachi North ATM","2024-01-23 16:45:00","Success","TXN202401230013","Regular withdrawal"
"14","9",NULL,"280000.00","415000.00","135000.00","Withdrawal","ATM","Suspicious - Unknown ATM","2024-01-24 00:15:00","Success","TXN202401240014","Midnight suspicious"
"15","15",NULL,"30000.00","175000.00","145000.00","Transfer","Online","Rawalpindi - Online","2024-01-24 12:00:00","Success","TXN202401240015","Regular transfer"
"16","3",NULL,"10000.00","40000.00","30000.00","Deposit","Branch","UBL Islamabad Branch","2024-01-25 09:00:00","Success","TXN202401250016","Monthly deposit"
"17","7",NULL,"400000.00","760000.00","360000.00","Transfer","Online","VPN - Foreign IP Detected","2024-01-25 02:22:00","Success","TXN202401250017","Foreign IP transfer"
"18","11",NULL,"55000.00","260000.00","205000.00","Withdrawal","ATM","DHA Lahore ATM","2024-01-26 11:30:00","Success","TXN202401260018","Regular withdrawal"
"19","8",NULL,"5000.00","15000.00","10000.00","Deposit","Branch","Meezan DHA Lahore","2024-01-26 14:00:00","Success","TXN202401260019","Small deposit"
"20","13",NULL,"750000.00","960000.00","210000.00","Transfer","Online","Unknown - Masked Location","2024-01-27 03:00:00","Success","TXN202401270020","Massive suspicious transfer"
