"Log_ID","User_ID","Action","Module","Record_ID","Old_Value","New_Value","IP_Address","Created_At"
"1","1","LOGIN","Authentication",NULL,NULL,"Admin logged in","192.168.1.1","2026-06-04 16:56:19"
"2","1","CREATE","Customer","1",NULL,"Customer Roshaan Rehman created","192.168.1.1","2026-06-04 16:56:19"
"3","1","CREATE","Customer","4",NULL,"Customer Nadia Hussain created","192.168.1.1","2026-06-04 16:56:19"
"4","1","UPDATE","Account","4",NULL,"Account status changed to Frozen","192.168.1.1","2026-06-04 16:56:19"
"5","1","CREATE","Blacklist","1",NULL,"Customer ID 4 added to blacklist","192.168.1.1","2026-06-04 16:56:19"
"6","2","LOGIN","Authentication",NULL,NULL,"Ali Hassan logged in","192.168.1.2","2026-06-04 16:56:19"
"7","2","UPDATE","FraudAlert","5",NULL,"Alert 5 marked Resolved","192.168.1.2","2026-06-04 16:56:19"
"8","3","UPDATE","InvCase","2",NULL,"Case 2 escalated to Critical","192.168.1.3","2026-06-04 16:56:19"
"9","4","CREATE","CaseNote","5",NULL,"Note added to Case 5","192.168.1.4","2026-06-04 16:56:19"
"10","1","CREATE","Blacklist","3",NULL,"Customer ID 13 added to blacklist","192.168.1.1","2026-06-04 16:56:19"
